  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
 129.100.253.84 - - [16/Mar/2018 18:49:09] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 18:49:10] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 18:49:11] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 18:49:12] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 18:49:12] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 18:49:12] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 18:49:12] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 18:49:47] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 18:49:47] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 18:49:47] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 18:49:48] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:01:44] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:01:44] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:01:45] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:20:37] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:25:40] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:25:48] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:25:48] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:25:48] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:25:48] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:30:59] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:30:59] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:30:59] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:31:00] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:31:48] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:31:49] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:31:49] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:31:50] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:32:20] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:32:21] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:32:21] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:32:21] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:32:21] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:32:21] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:32:21] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:32:33] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:02] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:02] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:02] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:02] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:02] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:02] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:02] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:02] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:02] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:02] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:02] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:02] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:02] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:02] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:02] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:03] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:03] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:03] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:03] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:03] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:03] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:03] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:03] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:03] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:03] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:03] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:03] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:03] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:03] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:03] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:04] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:05] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET / HTTP/1.1" 200 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET /favicon.ico HTTP/1.1" 404 -
 129.100.253.84 - - [16/Mar/2018 19:37:06] "GET / HTTP/1.1" 200 -
